number,value,datetime_start,datetime_complete,duration,params_chunk_overlap,params_chunk_size,params_model_name,params_num_retrieved_chunks,params_threshold,state
86,0.2624381917276279,2025-03-11 20:01:20.594007,2025-03-11 20:01:23.688331,0 days 00:00:03.094324,0.7,150,sentence-transformers/all-MiniLM-L6-v2,1,0.34737701856336,COMPLETE
87,0.2817702482820126,2025-03-11 20:01:23.688974,2025-03-11 20:01:26.533607,0 days 00:00:02.844633,0.6000000000000001,70,sentence-transformers/all-MiniLM-L6-v2,1,0.47875077867867016,COMPLETE
88,0.2638712211240008,2025-03-11 20:01:26.534545,2025-03-11 20:01:29.709758,0 days 00:00:03.175213,0.7,120,sentence-transformers/all-MiniLM-L6-v2,1,0.3114428710375768,COMPLETE
89,0.33442591801125926,2025-03-11 20:01:29.710392,2025-03-11 20:01:32.797231,0 days 00:00:03.086839,0.6000000000000001,50,sentence-transformers/all-MiniLM-L6-v2,5,0.4456365341194878,COMPLETE
90,0.39707479735883244,2025-03-11 20:01:32.798717,2025-03-11 20:01:35.789741,0 days 00:00:02.991024,0.7,50,sentence-transformers/all-MiniLM-L6-v2,1,0.25532204545335335,COMPLETE
91,0.44162934360015005,2025-03-11 20:01:35.790361,2025-03-11 20:01:38.897224,0 days 00:00:03.106863,0.7,40,sentence-transformers/all-MiniLM-L6-v2,2,0.36316360095353345,COMPLETE
92,0.44162934360015005,2025-03-11 20:01:38.898535,2025-03-11 20:01:42.078828,0 days 00:00:03.180293,0.7,40,sentence-transformers/all-MiniLM-L6-v2,2,0.3812696376924553,COMPLETE
93,0.3807230043852746,2025-03-11 20:01:42.079164,2025-03-11 20:01:45.280247,0 days 00:00:03.201083,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.3245937956780447,COMPLETE
94,0.376707666603503,2025-03-11 20:01:45.281361,2025-03-11 20:01:48.422857,0 days 00:00:03.141496,0.7,60,sentence-transformers/all-MiniLM-L6-v2,1,0.40393432318586237,COMPLETE
95,0.44162934360015005,2025-03-11 20:01:48.423507,2025-03-11 20:01:51.511454,0 days 00:00:03.087947,0.7,40,sentence-transformers/all-MiniLM-L6-v2,2,0.288605705742031,COMPLETE
96,0.39707479735883244,2025-03-11 20:01:51.512223,2025-03-11 20:01:54.629906,0 days 00:00:03.117683,0.7,50,sentence-transformers/all-MiniLM-L6-v2,1,0.35139489620526654,COMPLETE
97,0.28315703634068135,2025-03-11 20:01:54.630580,2025-03-11 20:01:57.758493,0 days 00:00:03.127913,0.7,90,sentence-transformers/all-MiniLM-L6-v2,2,0.32316205107973606,COMPLETE
98,0.376707666603503,2025-03-11 20:01:57.759236,2025-03-11 20:02:01.530708,0 days 00:00:03.771472,0.7,60,sentence-transformers/all-MiniLM-L6-v2,1,0.3884844831151474,COMPLETE
99,0.35074787097711235,2025-03-11 20:02:01.531463,2025-03-11 20:02:04.138923,0 days 00:00:02.607460,0.1,30,sentence-transformers/all-MiniLM-L6-v2,1,0.1729602696189879,COMPLETE
